日付,時間,役,順位,名前,得票数
04/20,1,四天王,1,亜利沙,1137
04/20,1,四天王,2,奈緒,1136
04/20,1,四天王,3,茜,590
04/20,1,四天王,4,莉緒,446
04/20,1,四天王,5,歩,281
04/20,1,四天王,6,風花,109
04/20,1,四天王,7,志保,74
04/20,1,四天王,8,瑞希,62
04/20,1,四天王,9,のり子,59
04/20,1,四天王,10,恵美,59
04/20,2,四天王,1,亜利沙,1211
04/20,2,四天王,2,奈緒,1201
04/20,2,四天王,3,茜,623
04/20,2,四天王,4,莉緒,465
04/20,2,四天王,5,歩,302
04/20,2,四天王,6,風花,113
04/20,2,四天王,7,志保,74
04/20,2,四天王,8,瑞希,65
04/20,2,四天王,9,恵美,60
04/20,2,四天王,10,のり子,59
04/20,3,四天王,1,亜利沙,1242
04/20,3,四天王,2,奈緒,1229
04/20,3,四天王,3,茜,627
04/20,3,四天王,4,莉緒,477
04/20,3,四天王,5,歩,309
04/20,3,四天王,6,風花,114
04/20,3,四天王,7,志保,77
04/20,3,四天王,8,瑞希,65
04/20,3,四天王,9,恵美,61
04/20,3,四天王,10,のり子,59
04/20,4,四天王,1,亜利沙,1250
04/20,4,四天王,2,奈緒,1240
04/20,4,四天王,3,茜,634
04/20,4,四天王,4,莉緒,482
04/20,4,四天王,5,歩,309
04/20,4,四天王,6,風花,116
04/20,4,四天王,7,志保,81
04/20,4,四天王,8,瑞希,65
04/20,4,四天王,9,恵美,61
04/20,4,四天王,10,のり子,59
04/20,5,四天王,1,亜利沙,1258
04/20,5,四天王,2,奈緒,1257
04/20,5,四天王,3,茜,634
04/20,5,四天王,4,莉緒,486
04/20,5,四天王,5,歩,309
04/20,5,四天王,6,風花,116
04/20,5,四天王,7,志保,83
04/20,5,四天王,8,瑞希,65
04/20,5,四天王,9,恵美,61
04/20,5,四天王,10,のり子,59
04/20,6,四天王,1,亜利沙,1287
04/20,6,四天王,2,奈緒,1271
04/20,6,四天王,3,茜,638
04/20,6,四天王,4,莉緒,501
04/20,6,四天王,5,歩,309
04/20,6,四天王,6,風花,116
04/20,6,四天王,7,志保,83
04/20,6,四天王,8,瑞希,65
04/20,6,四天王,9,恵美,61
04/20,6,四天王,10,のり子,60
04/20,7,四天王,1,奈緒,1317
04/20,7,四天王,2,亜利沙,1301
04/20,7,四天王,3,茜,648
04/20,7,四天王,4,莉緒,510
04/20,7,四天王,5,歩,317
04/20,7,四天王,6,風花,116
04/20,7,四天王,7,志保,87
04/20,7,四天王,8,瑞希,65
04/20,7,四天王,9,恵美,65
04/20,7,四天王,10,のり子,61
04/20,8,四天王,1,奈緒,1379
04/20,8,四天王,2,亜利沙,1347
04/20,8,四天王,3,茜,656
04/20,8,四天王,4,莉緒,521
04/20,8,四天王,5,歩,321
04/20,8,四天王,6,風花,118
04/20,8,四天王,7,志保,88
04/20,8,四天王,8,瑞希,65
04/20,8,四天王,9,恵美,65
04/20,8,四天王,10,のり子,62
04/20,9,四天王,1,奈緒,1406
04/20,9,四天王,2,亜利沙,1381
04/20,9,四天王,3,茜,677
04/20,9,四天王,4,莉緒,535
04/20,9,四天王,5,歩,334
04/20,9,四天王,6,風花,118
04/20,9,四天王,7,志保,88
04/20,9,四天王,8,恵美,67
04/20,9,四天王,9,瑞希,65
04/20,9,四天王,10,のり子,62
04/20,10,四天王,1,奈緒,1432
04/20,10,四天王,2,亜利沙,1400
04/20,10,四天王,3,茜,689
04/20,10,四天王,4,莉緒,540
04/20,10,四天王,5,歩,351
04/20,10,四天王,6,風花,123
04/20,10,四天王,7,志保,89
04/20,10,四天王,8,恵美,69
04/20,10,四天王,9,瑞希,65
04/20,10,四天王,10,のり子,63
04/20,11,四天王,1,奈緒,1443
04/20,11,四天王,2,亜利沙,1419
04/20,11,四天王,3,茜,692
04/20,11,四天王,4,莉緒,551
04/20,11,四天王,5,歩,360
04/20,11,四天王,6,風花,124
04/20,11,四天王,7,志保,89
04/20,11,四天王,8,恵美,69
04/20,11,四天王,9,瑞希,65
04/20,11,四天王,10,のり子,63
04/20,12,四天王,1,奈緒,1470
04/20,12,四天王,2,亜利沙,1447
04/20,12,四天王,3,茜,696
04/20,12,四天王,4,莉緒,554
04/20,12,四天王,5,歩,364
04/20,12,四天王,6,風花,127
04/20,12,四天王,7,志保,92
04/20,12,四天王,8,恵美,69
04/20,12,四天王,9,瑞希,66
04/20,12,四天王,10,のり子,63
04/20,13,四天王,1,奈緒,1488
04/20,13,四天王,2,亜利沙,1471
04/20,13,四天王,3,茜,696
04/20,13,四天王,4,莉緒,569
04/20,13,四天王,5,歩,368
04/20,13,四天王,6,風花,129
04/20,13,四天王,7,志保,92
04/20,13,四天王,8,恵美,69
04/20,13,四天王,9,瑞希,66
04/20,13,四天王,10,のり子,63
04/20,14,四天王,1,奈緒,1503
04/20,14,四天王,2,亜利沙,1483
04/20,14,四天王,3,茜,712
04/20,14,四天王,4,莉緒,571
04/20,14,四天王,5,歩,376
04/20,14,四天王,6,風花,129
04/20,14,四天王,7,志保,93
04/20,14,四天王,8,恵美,69
04/20,14,四天王,9,瑞希,66
04/20,14,四天王,10,のり子,63
04/20,15,四天王,1,奈緒,1518
04/20,15,四天王,2,亜利沙,1497
04/20,15,四天王,3,茜,717
04/20,15,四天王,4,莉緒,574
04/20,15,四天王,5,歩,376
04/20,15,四天王,6,風花,130
04/20,15,四天王,7,志保,93
04/20,15,四天王,8,恵美,74
04/20,15,四天王,9,瑞希,66
04/20,15,四天王,10,のり子,63
04/20,16,四天王,1,奈緒,1527
04/20,16,四天王,2,亜利沙,1511
04/20,16,四天王,3,茜,720
04/20,16,四天王,4,莉緒,580
04/20,16,四天王,5,歩,377
04/20,16,四天王,6,風花,130
04/20,16,四天王,7,志保,93
04/20,16,四天王,8,恵美,74
04/20,16,四天王,9,瑞希,66
04/20,16,四天王,10,のり子,63
04/20,17,四天王,1,奈緒,1541
04/20,17,四天王,2,亜利沙,1517
04/20,17,四天王,3,茜,721
04/20,17,四天王,4,莉緒,582
04/20,17,四天王,5,歩,379
04/20,17,四天王,6,風花,130
04/20,17,四天王,7,志保,94
04/20,17,四天王,8,恵美,74
04/20,17,四天王,9,瑞希,66
04/20,17,四天王,10,のり子,63
