日付,時間,役,順位,名前,得票数
04/19,23,霊,6,琴葉,59
04/19,23,霊,7,まつり,50
04/19,23,霊,8,ジュリア,49
04/19,23,霊,9,莉緒,38
04/19,23,霊,10,可憐,33
04/20,0,霊,1,麗花,1066
04/20,0,霊,2,紗代子,1049
04/20,0,霊,3,美也,324
04/20,0,霊,4,瑞希,98
04/20,0,霊,5,杏奈,80
04/20,0,霊,6,琴葉,60
04/20,0,霊,7,まつり,50
04/20,0,霊,8,ジュリア,49
04/20,0,霊,9,莉緒,39
04/20,0,霊,10,可憐,34
04/20,1,霊,1,麗花,1262
04/20,1,霊,2,紗代子,1249
04/20,1,霊,3,美也,388
04/20,1,霊,4,瑞希,104
04/20,1,霊,5,杏奈,86
04/20,1,霊,6,琴葉,64
04/20,1,霊,7,まつり,50
04/20,1,霊,8,ジュリア,50
04/20,1,霊,9,莉緒,42
04/20,1,霊,10,可憐,37
04/20,2,霊,1,紗代子,1333
04/20,2,霊,2,麗花,1315
04/20,2,霊,3,美也,408
04/20,2,霊,4,瑞希,106
04/20,2,霊,5,杏奈,86
04/20,2,霊,6,琴葉,67
04/20,2,霊,7,まつり,52
04/20,2,霊,8,ジュリア,51
04/20,2,霊,9,莉緒,42
04/20,2,霊,10,可憐,39
04/20,3,霊,1,紗代子,1369
04/20,3,霊,2,麗花,1367
04/20,3,霊,3,美也,415
04/20,3,霊,4,瑞希,110
04/20,3,霊,5,杏奈,87
04/20,3,霊,6,琴葉,68
04/20,3,霊,7,まつり,52
04/20,3,霊,8,ジュリア,51
04/20,3,霊,9,莉緒,42
04/20,3,霊,10,可憐,40
04/20,4,霊,1,麗花,1391
04/20,4,霊,2,紗代子,1390
04/20,4,霊,3,美也,415
04/20,4,霊,4,瑞希,110
04/20,4,霊,5,杏奈,89
04/20,4,霊,6,琴葉,69
04/20,4,霊,7,まつり,52
04/20,4,霊,8,ジュリア,51
04/20,4,霊,9,莉緒,42
04/20,4,霊,10,可憐,40
04/20,5,霊,1,麗花,1422
04/20,5,霊,2,紗代子,1394
04/20,5,霊,3,美也,418
04/20,5,霊,4,瑞希,116
04/20,5,霊,5,杏奈,93
04/20,5,霊,6,琴葉,69
04/20,5,霊,7,まつり,52
04/20,5,霊,8,ジュリア,51
04/20,5,霊,9,莉緒,42
04/20,5,霊,10,可憐,40
04/20,6,霊,1,麗花,1439
04/20,6,霊,2,紗代子,1410
04/20,6,霊,3,美也,420
04/20,6,霊,4,瑞希,117
04/20,6,霊,5,杏奈,94
04/20,6,霊,6,琴葉,69
04/20,6,霊,7,まつり,52
04/20,6,霊,8,ジュリア,51
04/20,6,霊,9,可憐,43
04/20,6,霊,10,莉緒,42
04/20,7,霊,1,麗花,1461
04/20,7,霊,2,紗代子,1436
04/20,7,霊,3,美也,433
04/20,7,霊,4,瑞希,117
04/20,7,霊,5,杏奈,94
04/20,7,霊,6,琴葉,72
04/20,7,霊,7,まつり,52
04/20,7,霊,8,ジュリア,52
04/20,7,霊,9,可憐,46
04/20,7,霊,10,莉緒,43
04/20,8,霊,1,麗花,1491
04/20,8,霊,2,紗代子,1474
04/20,8,霊,3,美也,443
04/20,8,霊,4,瑞希,121
04/20,8,霊,5,杏奈,94
04/20,8,霊,6,琴葉,72
04/20,8,霊,7,まつり,53
04/20,8,霊,8,ジュリア,52
04/20,8,霊,9,可憐,47
04/20,8,霊,10,莉緒,43
04/20,9,霊,1,麗花,1514
04/20,9,霊,2,紗代子,1489
04/20,9,霊,3,美也,449
04/20,9,霊,4,瑞希,122
04/20,9,霊,5,杏奈,94
04/20,9,霊,6,琴葉,72
04/20,9,霊,7,まつり,53
04/20,9,霊,8,ジュリア,52
04/20,9,霊,9,可憐,47
04/20,9,霊,10,莉緒,43
04/20,10,霊,1,麗花,1532
04/20,10,霊,2,紗代子,1498
04/20,10,霊,3,美也,466
04/20,10,霊,4,瑞希,122
04/20,10,霊,5,杏奈,95
04/20,10,霊,6,琴葉,73
04/20,10,霊,7,ジュリア,54
04/20,10,霊,8,まつり,53
04/20,10,霊,9,可憐,47
04/20,10,霊,10,莉緒,44
04/20,11,霊,1,麗花,1548
04/20,11,霊,2,紗代子,1527
04/20,11,霊,3,美也,466
04/20,11,霊,4,瑞希,122
04/20,11,霊,5,杏奈,99
04/20,11,霊,6,琴葉,73
04/20,11,霊,7,ジュリア,54
04/20,11,霊,8,まつり,53
04/20,11,霊,9,可憐,47
04/20,11,霊,10,莉緒,45
04/20,12,霊,1,麗花,1561
04/20,12,霊,2,紗代子,1549
04/20,12,霊,3,美也,471
04/20,12,霊,4,瑞希,123
04/20,12,霊,5,杏奈,99
04/20,12,霊,6,琴葉,73
04/20,12,霊,7,ジュリア,54
04/20,12,霊,8,まつり,54
04/20,12,霊,9,可憐,47
04/20,12,霊,10,莉緒,46
04/20,13,霊,1,麗花,1606
04/20,13,霊,2,紗代子,1568
04/20,13,霊,3,美也,473
04/20,13,霊,4,瑞希,127
04/20,13,霊,5,杏奈,99
04/20,13,霊,6,琴葉,73
04/20,13,霊,7,ジュリア,54
04/20,13,霊,8,まつり,54
04/20,13,霊,9,可憐,47
04/20,13,霊,10,莉緒,46
04/20,14,霊,1,麗花,1620
04/20,14,霊,2,紗代子,1588
04/20,14,霊,3,美也,479
04/20,14,霊,4,瑞希,128
04/20,14,霊,5,杏奈,99
04/20,14,霊,6,琴葉,74
04/20,14,霊,7,ジュリア,54
04/20,14,霊,8,まつり,54
04/20,14,霊,9,可憐,47
04/20,14,霊,10,莉緒,46
04/20,15,霊,1,麗花,1627
04/20,15,霊,2,紗代子,1593
04/20,15,霊,3,美也,484
04/20,15,霊,4,瑞希,128
04/20,15,霊,5,杏奈,99
04/20,15,霊,6,琴葉,74
04/20,15,霊,7,ジュリア,55
04/20,15,霊,8,まつり,54
04/20,15,霊,9,可憐,47
04/20,15,霊,10,莉緒,46
04/20,16,霊,1,麗花,1635
04/20,16,霊,2,紗代子,1609
04/20,16,霊,3,美也,488
04/20,16,霊,4,瑞希,128
04/20,16,霊,5,杏奈,99
04/20,16,霊,6,琴葉,74
04/20,16,霊,7,まつり,56
04/20,16,霊,8,ジュリア,55
04/20,16,霊,9,可憐,47
04/20,16,霊,10,莉緒,46
04/20,17,霊,1,麗花,1645
04/20,17,霊,2,紗代子,1640
04/20,17,霊,3,美也,490
04/20,17,霊,4,瑞希,130
04/20,17,霊,5,杏奈,100
04/20,17,霊,6,琴葉,74
04/20,17,霊,7,まつり,56
04/20,17,霊,8,ジュリア,55
04/20,17,霊,9,可憐,47
04/20,17,霊,10,莉緒,46
04/20,18,霊,1,麗花,1665
04/20,18,霊,2,紗代子,1658
04/20,18,霊,3,美也,490
04/20,18,霊,4,瑞希,130
04/20,18,霊,5,杏奈,100
04/20,18,霊,6,琴葉,74
04/20,18,霊,7,まつり,57
04/20,18,霊,8,ジュリア,55
04/20,18,霊,9,可憐,47
04/20,18,霊,10,莉緒,46
04/20,19,霊,1,麗花,1688
04/20,19,霊,2,紗代子,1688
04/20,19,霊,3,美也,499
04/20,19,霊,4,瑞希,130
04/20,19,霊,5,杏奈,104
04/20,19,霊,6,琴葉,74
04/20,19,霊,7,まつり,57
04/20,19,霊,8,ジュリア,55
04/20,19,霊,9,可憐,47
04/20,19,霊,10,莉緒,46
04/20,20,霊,1,麗花,1715
04/20,20,霊,2,紗代子,1709
04/20,20,霊,3,美也,505
04/20,20,霊,4,瑞希,132
04/20,20,霊,5,杏奈,106
