日付,時間,役,順位,名前,得票数
04/19,21,用心棒,9,莉緒,33
04/19,21,用心棒,10,まつり,31
04/19,22,用心棒,1,のり子,645
04/19,22,用心棒,2,志保,422
04/19,22,用心棒,3,海美,340
04/19,22,用心棒,4,ジュリア,215
04/19,22,用心棒,5,昴,128
04/19,22,用心棒,6,瑞希,113
04/19,22,用心棒,7,エミリー,72
04/19,22,用心棒,8,恵美,38
04/19,22,用心棒,9,莉緒,33
04/19,22,用心棒,10,まつり,31
04/19,23,用心棒,1,のり子,652
04/19,23,用心棒,2,志保,432
04/19,23,用心棒,3,海美,343
04/19,23,用心棒,4,ジュリア,216
04/19,23,用心棒,5,昴,134
04/19,23,用心棒,6,瑞希,115
04/19,23,用心棒,7,エミリー,72
04/19,23,用心棒,8,恵美,38
04/19,23,用心棒,9,莉緒,34
04/19,23,用心棒,10,まつり,31
04/20,0,用心棒,1,のり子,662
04/20,0,用心棒,2,志保,454
04/20,0,用心棒,3,海美,358
04/20,0,用心棒,4,ジュリア,218
04/20,0,用心棒,5,昴,135
04/20,0,用心棒,6,瑞希,118
04/20,0,用心棒,7,エミリー,72
04/20,0,用心棒,8,恵美,39
04/20,0,用心棒,9,莉緒,35
04/20,0,用心棒,10,奈緒,32
04/20,1,用心棒,1,のり子,789
04/20,1,用心棒,2,志保,621
04/20,1,用心棒,3,海美,435
04/20,1,用心棒,4,ジュリア,228
04/20,1,用心棒,5,昴,143
04/20,1,用心棒,6,瑞希,125
04/20,1,用心棒,7,エミリー,73
04/20,1,用心棒,8,恵美,40
04/20,1,用心棒,9,まつり,38
04/20,1,用心棒,10,莉緒,37
04/20,2,用心棒,1,のり子,815
04/20,2,用心棒,2,志保,642
04/20,2,用心棒,3,海美,463
04/20,2,用心棒,4,ジュリア,234
04/20,2,用心棒,5,昴,143
04/20,2,用心棒,6,瑞希,126
04/20,2,用心棒,7,エミリー,73
04/20,2,用心棒,8,恵美,40
04/20,2,用心棒,9,まつり,39
04/20,2,用心棒,10,莉緒,37
04/20,3,用心棒,1,のり子,846
04/20,3,用心棒,2,志保,658
04/20,3,用心棒,3,海美,468
04/20,3,用心棒,4,ジュリア,238
04/20,3,用心棒,5,昴,148
04/20,3,用心棒,6,瑞希,126
04/20,3,用心棒,7,エミリー,74
04/20,3,用心棒,8,恵美,40
04/20,3,用心棒,9,まつり,39
04/20,3,用心棒,10,莉緒,37
04/20,4,用心棒,1,のり子,851
04/20,4,用心棒,2,志保,672
04/20,4,用心棒,3,海美,468
04/20,4,用心棒,4,ジュリア,240
04/20,4,用心棒,5,昴,153
04/20,4,用心棒,6,瑞希,126
04/20,4,用心棒,7,エミリー,74
04/20,4,用心棒,8,恵美,40
04/20,4,用心棒,9,まつり,39
04/20,4,用心棒,10,莉緒,37
04/20,5,用心棒,1,のり子,859
04/20,5,用心棒,2,志保,672
04/20,5,用心棒,3,海美,474
04/20,5,用心棒,4,ジュリア,242
04/20,5,用心棒,5,昴,155
04/20,5,用心棒,6,瑞希,126
04/20,5,用心棒,7,エミリー,74
04/20,5,用心棒,8,恵美,40
04/20,5,用心棒,9,まつり,39
04/20,5,用心棒,10,莉緒,37
04/20,6,用心棒,1,のり子,870
04/20,6,用心棒,2,志保,676
04/20,6,用心棒,3,海美,480
04/20,6,用心棒,4,ジュリア,243
04/20,6,用心棒,5,昴,157
04/20,6,用心棒,6,瑞希,126
04/20,6,用心棒,7,エミリー,75
04/20,6,用心棒,8,恵美,40
04/20,6,用心棒,9,まつり,40
04/20,6,用心棒,10,莉緒,37
04/20,7,用心棒,1,のり子,887
04/20,7,用心棒,2,志保,687
04/20,7,用心棒,3,海美,491
04/20,7,用心棒,4,ジュリア,244
04/20,7,用心棒,5,昴,159
04/20,7,用心棒,6,瑞希,127
04/20,7,用心棒,7,エミリー,75
04/20,7,用心棒,8,まつり,41
04/20,7,用心棒,9,恵美,40
04/20,7,用心棒,10,莉緒,37
04/20,8,用心棒,1,のり子,914
04/20,8,用心棒,2,志保,718
04/20,8,用心棒,3,海美,503
04/20,8,用心棒,4,ジュリア,254
04/20,8,用心棒,5,昴,162
04/20,8,用心棒,6,瑞希,130
04/20,8,用心棒,7,エミリー,79
04/20,8,用心棒,8,恵美,43
04/20,8,用心棒,9,まつり,41
04/20,8,用心棒,10,莉緒,38
04/20,9,用心棒,1,のり子,955
04/20,9,用心棒,2,志保,735
04/20,9,用心棒,3,海美,533
04/20,9,用心棒,4,ジュリア,255
04/20,9,用心棒,5,昴,164
04/20,9,用心棒,6,瑞希,134
04/20,9,用心棒,7,エミリー,79
04/20,9,用心棒,8,恵美,47
04/20,9,用心棒,9,莉緒,42
04/20,9,用心棒,10,まつり,41
04/20,10,用心棒,1,のり子,977
04/20,10,用心棒,2,志保,754
04/20,10,用心棒,3,海美,550
04/20,10,用心棒,4,ジュリア,257
04/20,10,用心棒,5,昴,170
04/20,10,用心棒,6,瑞希,134
04/20,10,用心棒,7,エミリー,80
04/20,10,用心棒,8,恵美,50
04/20,10,用心棒,9,莉緒,42
04/20,10,用心棒,10,まつり,41
04/20,11,用心棒,1,のり子,989
04/20,11,用心棒,2,志保,763
04/20,11,用心棒,3,海美,564
04/20,11,用心棒,4,ジュリア,258
04/20,11,用心棒,5,昴,171
04/20,11,用心棒,6,瑞希,134
04/20,11,用心棒,7,エミリー,81
04/20,11,用心棒,8,恵美,53
04/20,11,用心棒,9,莉緒,42
04/20,11,用心棒,10,まつり,41
04/20,12,用心棒,1,のり子,1012
04/20,12,用心棒,2,志保,770
04/20,12,用心棒,3,海美,583
04/20,12,用心棒,4,ジュリア,261
04/20,12,用心棒,5,昴,172
04/20,12,用心棒,6,瑞希,135
04/20,12,用心棒,7,エミリー,81
04/20,12,用心棒,8,恵美,53
04/20,12,用心棒,9,莉緒,44
04/20,12,用心棒,10,まつり,41
04/20,13,用心棒,1,のり子,1030
04/20,13,用心棒,2,志保,781
04/20,13,用心棒,3,海美,585
04/20,13,用心棒,4,ジュリア,264
04/20,13,用心棒,5,昴,172
04/20,13,用心棒,6,瑞希,135
04/20,13,用心棒,7,エミリー,81
04/20,13,用心棒,8,恵美,54
04/20,13,用心棒,9,莉緒,44
04/20,13,用心棒,10,まつり,41
04/20,14,用心棒,1,のり子,1038
04/20,14,用心棒,2,志保,795
04/20,14,用心棒,3,海美,592
04/20,14,用心棒,4,ジュリア,266
04/20,14,用心棒,5,昴,172
04/20,14,用心棒,6,瑞希,139
04/20,14,用心棒,7,エミリー,81
04/20,14,用心棒,8,恵美,54
04/20,14,用心棒,9,莉緒,44
04/20,14,用心棒,10,静香,42
04/20,15,用心棒,1,のり子,1043
04/20,15,用心棒,2,志保,822
04/20,15,用心棒,3,海美,601
04/20,15,用心棒,4,ジュリア,266
04/20,15,用心棒,5,昴,172
04/20,15,用心棒,6,瑞希,139
04/20,15,用心棒,7,エミリー,82
04/20,15,用心棒,8,恵美,54
04/20,15,用心棒,9,莉緒,44
04/20,15,用心棒,10,静香,42
04/20,16,用心棒,1,のり子,1055
04/20,16,用心棒,2,志保,824
04/20,16,用心棒,3,海美,604
04/20,16,用心棒,4,ジュリア,268
04/20,16,用心棒,5,昴,172
04/20,16,用心棒,6,瑞希,139
04/20,16,用心棒,7,エミリー,82
04/20,16,用心棒,8,恵美,54
04/20,16,用心棒,9,莉緒,44
04/20,16,用心棒,10,風花,43
04/20,17,用心棒,1,のり子,1057
04/20,17,用心棒,2,志保,835
04/20,17,用心棒,3,海美,608
04/20,17,用心棒,4,ジュリア,268
04/20,17,用心棒,5,昴,174
04/20,17,用心棒,6,瑞希,139
04/20,17,用心棒,7,エミリー,82
04/20,17,用心棒,8,恵美,54
04/20,17,用心棒,9,莉緒,44
04/20,17,用心棒,10,風花,43
04/20,18,用心棒,1,のり子,1066
04/20,18,用心棒,2,志保,845
04/20,18,用心棒,3,海美,612
04/20,18,用心棒,4,ジュリア,269
04/20,18,用心棒,5,昴,174
04/20,18,用心棒,6,瑞希,139
04/20,18,用心棒,7,エミリー,82
04/20,18,用心棒,8,恵美,54
04/20,18,用心棒,9,莉緒,44
04/20,18,用心棒,10,風花,43
04/20,19,用心棒,1,のり子,1084
04/20,19,用心棒,2,志保,851
04/20,19,用心棒,3,海美,621
04/20,19,用心棒,4,ジュリア,272
04/20,19,用心棒,5,昴,174
04/20,19,用心棒,6,瑞希,140
04/20,19,用心棒,7,エミリー,82
04/20,19,用心棒,8,恵美,54
04/20,19,用心棒,9,莉緒,44
04/20,19,用心棒,10,風花,43
04/20,20,用心棒,1,のり子,1094
04/20,20,用心棒,2,志保,854
04/20,20,用心棒,3,海美,627
04/20,20,用心棒,4,ジュリア,273
04/20,20,用心棒,5,昴,175
04/20,20,用心棒,6,瑞希,140
04/20,20,用心棒,7,エミリー,82
04/20,20,用心棒,8,恵美,55
04/20,20,用心棒,9,莉緒,44
04/20,20,用心棒,10,風花,43
04/20,21,用心棒,1,のり子,1113
04/20,21,用心棒,2,志保,865
04/20,21,用心棒,3,海美,633
04/20,21,用心棒,4,ジュリア,273
04/20,21,用心棒,5,昴,175
04/20,21,用心棒,6,瑞希,146
04/20,21,用心棒,7,エミリー,82
04/20,21,用心棒,8,恵美,55
04/20,21,用心棒,9,莉緒,44
04/20,21,用心棒,10,風花,43
04/20,22,用心棒,1,のり子,1137
04/20,22,用心棒,2,志保,886
04/20,22,用心棒,3,海美,647
04/20,22,用心棒,4,ジュリア,274
04/20,22,用心棒,5,昴,175
04/20,22,用心棒,6,瑞希,147
04/20,22,用心棒,7,エミリー,82
04/20,22,用心棒,8,恵美,55
04/20,22,用心棒,9,莉緒,45
04/20,22,用心棒,10,風花,43
04/20,23,用心棒,1,のり子,1151
04/20,23,用心棒,2,志保,896
04/20,23,用心棒,3,海美,652
04/20,23,用心棒,4,ジュリア,274
04/20,23,用心棒,5,昴,175
04/20,23,用心棒,6,瑞希,147
04/20,23,用心棒,7,エミリー,82
04/20,23,用心棒,8,恵美,55
04/20,23,用心棒,9,莉緒,45
04/20,23,用心棒,10,静香,44
04/21,0,用心棒,1,のり子,1176
04/21,0,用心棒,2,志保,916
04/21,0,用心棒,3,海美,661
04/21,0,用心棒,4,ジュリア,276
04/21,0,用心棒,5,昴,175
04/21,0,用心棒,6,瑞希,151
04/21,0,用心棒,7,エミリー,82
04/21,0,用心棒,8,恵美,56
04/21,0,用心棒,9,莉緒,45
04/21,0,用心棒,10,静香,45
04/21,1,用心棒,1,のり子,1302
04/21,1,用心棒,2,志保,988
04/21,1,用心棒,3,海美,702
04/21,1,用心棒,4,ジュリア,282
04/21,1,用心棒,5,昴,183
04/21,1,用心棒,6,瑞希,160
04/21,1,用心棒,7,エミリー,82
04/21,1,用心棒,8,恵美,58
04/21,1,用心棒,9,莉緒,55
04/21,1,用心棒,10,静香,46
04/21,2,用心棒,1,のり子,1376
04/21,2,用心棒,2,志保,1018
04/21,2,用心棒,3,海美,728
04/21,2,用心棒,4,ジュリア,284
04/21,2,用心棒,5,昴,183
04/21,2,用心棒,6,瑞希,160
04/21,2,用心棒,7,エミリー,82
04/21,2,用心棒,8,恵美,58
04/21,2,用心棒,9,莉緒,55
04/21,2,用心棒,10,静香,46
04/21,3,用心棒,1,のり子,1395
04/21,3,用心棒,2,志保,1033
04/21,3,用心棒,3,海美,746
04/21,3,用心棒,4,ジュリア,286
04/21,3,用心棒,5,昴,183
04/21,3,用心棒,6,瑞希,160
04/21,3,用心棒,7,エミリー,82
04/21,3,用心棒,8,恵美,58
04/21,3,用心棒,9,莉緒,55
04/21,3,用心棒,10,静香,46
04/21,4,用心棒,1,のり子,1399
04/21,4,用心棒,2,志保,1035
04/21,4,用心棒,3,海美,749
04/21,4,用心棒,4,ジュリア,286
04/21,4,用心棒,5,昴,185
04/21,4,用心棒,6,瑞希,160
04/21,4,用心棒,7,エミリー,82
04/21,4,用心棒,8,恵美,58
04/21,4,用心棒,9,莉緒,55
04/21,4,用心棒,10,静香,46
04/21,5,用心棒,1,のり子,1415
04/21,5,用心棒,2,志保,1042
04/21,5,用心棒,3,海美,749
04/21,5,用心棒,4,ジュリア,288
04/21,5,用心棒,5,昴,187
04/21,5,用心棒,6,瑞希,160
04/21,5,用心棒,7,エミリー,82
04/21,5,用心棒,8,恵美,58
04/21,5,用心棒,9,莉緒,55
04/21,5,用心棒,10,静香,46
04/21,6,用心棒,1,のり子,1420
04/21,6,用心棒,2,志保,1044
04/21,6,用心棒,3,海美,755
04/21,6,用心棒,4,ジュリア,288
04/21,6,用心棒,5,昴,187
04/21,6,用心棒,6,瑞希,160
04/21,6,用心棒,7,エミリー,82
04/21,6,用心棒,8,恵美,58
04/21,6,用心棒,9,莉緒,55
04/21,6,用心棒,10,静香,46
04/21,7,用心棒,1,のり子,1436
04/21,7,用心棒,2,志保,1060
04/21,7,用心棒,3,海美,769
04/21,7,用心棒,4,ジュリア,291
04/21,7,用心棒,5,昴,189
04/21,7,用心棒,6,瑞希,160
04/21,7,用心棒,7,エミリー,82
