日付,時間,役,順位,名前,得票数
04/20,0,勇者,8,琴葉,89
04/20,0,勇者,9,志保,62
04/20,0,勇者,10,紗代子,55
04/20,1,勇者,1,百合子,1771
04/20,1,勇者,2,杏奈,1533
04/20,1,勇者,3,未来,390
04/20,1,勇者,4,海美,141
04/20,1,勇者,5,静香,123
04/20,1,勇者,6,翼,122
04/20,1,勇者,7,昴,107
04/20,1,勇者,8,琴葉,94
04/20,1,勇者,9,志保,65
04/20,1,勇者,10,紗代子,61
04/20,2,勇者,1,百合子,1864
04/20,2,勇者,2,杏奈,1673
04/20,2,勇者,3,未来,403
04/20,2,勇者,4,海美,142
04/20,2,勇者,5,静香,126
04/20,2,勇者,6,翼,124
04/20,2,勇者,7,昴,109
04/20,2,勇者,8,琴葉,97
04/20,2,勇者,9,志保,66
04/20,2,勇者,10,紗代子,62
04/20,3,勇者,1,百合子,1915
04/20,3,勇者,2,杏奈,1715
04/20,3,勇者,3,未来,406
04/20,3,勇者,4,海美,145
04/20,3,勇者,5,静香,129
04/20,3,勇者,6,翼,125
04/20,3,勇者,7,昴,111
04/20,3,勇者,8,琴葉,97
04/20,3,勇者,9,志保,66
04/20,3,勇者,10,紗代子,62
04/20,4,勇者,1,百合子,1929
04/20,4,勇者,2,杏奈,1734
04/20,4,勇者,3,未来,407
04/20,4,勇者,4,海美,147
04/20,4,勇者,5,静香,130
04/20,4,勇者,6,翼,125
04/20,4,勇者,7,昴,111
04/20,4,勇者,8,琴葉,97
04/20,4,勇者,9,志保,66
04/20,4,勇者,10,紗代子,63
04/20,5,勇者,1,百合子,1936
04/20,5,勇者,2,杏奈,1753
04/20,5,勇者,3,未来,410
04/20,5,勇者,4,海美,147
04/20,5,勇者,5,静香,130
04/20,5,勇者,6,翼,125
04/20,5,勇者,7,昴,111
04/20,5,勇者,8,琴葉,98
04/20,5,勇者,9,志保,66
04/20,5,勇者,10,紗代子,63
04/20,6,勇者,1,百合子,1958
04/20,6,勇者,2,杏奈,1790
04/20,6,勇者,3,未来,411
04/20,6,勇者,4,海美,147
04/20,6,勇者,5,静香,138
04/20,6,勇者,6,翼,125
04/20,6,勇者,7,昴,111
04/20,6,勇者,8,琴葉,98
04/20,6,勇者,9,志保,72
04/20,6,勇者,10,可奈,64
04/20,7,勇者,1,百合子,2010
04/20,7,勇者,2,杏奈,1845
04/20,7,勇者,3,未来,416
04/20,7,勇者,4,海美,152
04/20,7,勇者,5,静香,140
04/20,7,勇者,6,翼,127
04/20,7,勇者,7,昴,111
04/20,7,勇者,8,琴葉,100
04/20,7,勇者,9,志保,73
04/20,7,勇者,10,可奈,66
04/20,8,勇者,1,百合子,2059
04/20,8,勇者,2,杏奈,1923
04/20,8,勇者,3,未来,425
04/20,8,勇者,4,海美,157
04/20,8,勇者,5,静香,148
04/20,8,勇者,6,翼,130
04/20,8,勇者,7,昴,113
04/20,8,勇者,8,琴葉,100
04/20,8,勇者,9,志保,73
04/20,8,勇者,10,可奈,67
04/20,9,勇者,1,百合子,2135
04/20,9,勇者,2,杏奈,2020
04/20,9,勇者,3,未来,439
04/20,9,勇者,4,海美,157
04/20,9,勇者,5,静香,149
04/20,9,勇者,6,翼,130
04/20,9,勇者,7,昴,117
04/20,9,勇者,8,琴葉,101
04/20,9,勇者,9,志保,73
04/20,9,勇者,10,可奈,67
04/20,10,勇者,1,百合子,2188
04/20,10,勇者,2,杏奈,2089
04/20,10,勇者,3,未来,446
