日付,時間,役,順位,名前,得票数
04/20,12,お嬢,10,朋花,116
04/20,13,お嬢,1,桃子,1593
04/20,13,お嬢,2,千鶴,1096
04/20,13,お嬢,3,静香,616
04/20,13,お嬢,4,エミリー,603
04/20,13,お嬢,5,星梨花,362
04/20,13,お嬢,6,琴葉,290
04/20,13,お嬢,7,まつり,228
04/20,13,お嬢,8,紗代子,136
04/20,13,お嬢,9,志保,128
04/20,13,お嬢,10,朋花,117
04/20,14,お嬢,1,桃子,1600
04/20,14,お嬢,2,千鶴,1102
04/20,14,お嬢,3,静香,623
04/20,14,お嬢,4,エミリー,609
04/20,14,お嬢,5,星梨花,362
04/20,14,お嬢,6,琴葉,291
04/20,14,お嬢,7,まつり,228
04/20,14,お嬢,8,紗代子,136
04/20,14,お嬢,9,志保,132
04/20,14,お嬢,10,朋花,117
04/20,15,お嬢,1,桃子,1605
04/20,15,お嬢,2,千鶴,1102
04/20,15,お嬢,3,静香,624
04/20,15,お嬢,4,エミリー,613
04/20,15,お嬢,5,星梨花,368
04/20,15,お嬢,6,琴葉,291
04/20,15,お嬢,7,まつり,230
04/20,15,お嬢,8,紗代子,136
04/20,15,お嬢,9,志保,132
04/20,15,お嬢,10,朋花,118
04/20,16,お嬢,1,桃子,1621
04/20,16,お嬢,2,千鶴,1105
04/20,16,お嬢,3,エミリー,640
04/20,16,お嬢,4,静香,624
04/20,16,お嬢,5,星梨花,373
04/20,16,お嬢,6,琴葉,293
04/20,16,お嬢,7,まつり,230
04/20,16,お嬢,8,紗代子,136
04/20,16,お嬢,9,志保,135
04/20,16,お嬢,10,朋花,118
04/20,17,お嬢,1,桃子,1632
04/20,17,お嬢,2,千鶴,1111
04/20,17,お嬢,3,エミリー,644
04/20,17,お嬢,4,静香,629
04/20,17,お嬢,5,星梨花,373
04/20,17,お嬢,6,琴葉,295
04/20,17,お嬢,7,まつり,230
04/20,17,お嬢,8,志保,139
04/20,17,お嬢,9,紗代子,136
04/20,17,お嬢,10,朋花,118
04/20,18,お嬢,1,桃子,1655
04/20,18,お嬢,2,千鶴,1125
04/20,18,お嬢,3,エミリー,651
04/20,18,お嬢,4,静香,631
04/20,18,お嬢,5,星梨花,376
04/20,18,お嬢,6,琴葉,296
04/20,18,お嬢,7,まつり,231
04/20,18,お嬢,8,志保,139
04/20,18,お嬢,9,紗代子,136
04/20,18,お嬢,10,朋花,118
04/20,19,お嬢,1,桃子,1656
04/20,19,お嬢,2,千鶴,1130
04/20,19,お嬢,3,エミリー,655
04/20,19,お嬢,4,静香,639
04/20,19,お嬢,5,星梨花,377
04/20,19,お嬢,6,琴葉,298
04/20,19,お嬢,7,まつり,231
04/20,19,お嬢,8,志保,139
04/20,19,お嬢,9,紗代子,136
04/20,19,お嬢,10,朋花,120
04/20,20,お嬢,1,桃子,1668
04/20,20,お嬢,2,千鶴,1139
04/20,20,お嬢,3,エミリー,660
04/20,20,お嬢,4,静香,649
04/20,20,お嬢,5,星梨花,378
04/20,20,お嬢,6,琴葉,301
04/20,20,お嬢,7,まつり,233
04/20,20,お嬢,8,志保,140
04/20,20,お嬢,9,紗代子,139
04/20,20,お嬢,10,朋花,120
04/20,21,お嬢,1,桃子,1680
04/20,21,お嬢,2,千鶴,1148
04/20,21,お嬢,3,エミリー,682
04/20,21,お嬢,4,静香,660
04/20,21,お嬢,5,星梨花,385
04/20,21,お嬢,6,琴葉,301
