日付,時間,役,順位,名前,得票数
04/20,6,悪徳組長,10,亜利沙,44
04/20,7,悪徳組長,1,ひなた,1659
04/20,7,悪徳組長,2,まつり,1647
04/20,7,悪徳組長,3,風花,310
04/20,7,悪徳組長,4,奈緒,182
04/20,7,悪徳組長,5,朋花,121
04/20,7,悪徳組長,6,このみ,90
04/20,7,悪徳組長,7,杏奈,73
04/20,7,悪徳組長,8,志保,62
04/20,7,悪徳組長,9,莉緒,47
04/20,7,悪徳組長,10,亜利沙,44
04/20,8,悪徳組長,1,まつり,1723
04/20,8,悪徳組長,2,ひなた,1720
04/20,8,悪徳組長,3,風花,317
04/20,8,悪徳組長,4,奈緒,185
04/20,8,悪徳組長,5,朋花,126
04/20,8,悪徳組長,6,このみ,91
04/20,8,悪徳組長,7,杏奈,73
04/20,8,悪徳組長,8,志保,63
04/20,8,悪徳組長,9,莉緒,47
04/20,8,悪徳組長,10,亜利沙,44
04/20,9,悪徳組長,1,まつり,1796
04/20,9,悪徳組長,2,ひなた,1779
04/20,9,悪徳組長,3,風花,321
04/20,9,悪徳組長,4,奈緒,186
04/20,9,悪徳組長,5,朋花,126
04/20,9,悪徳組長,6,このみ,94
04/20,9,悪徳組長,7,杏奈,74
04/20,9,悪徳組長,8,志保,64
04/20,9,悪徳組長,9,莉緒,49
04/20,9,悪徳組長,10,茜,46
04/20,10,悪徳組長,1,ひなた,1849
04/20,10,悪徳組長,2,まつり,1844
04/20,10,悪徳組長,3,風花,321
04/20,10,悪徳組長,4,奈緒,187
04/20,10,悪徳組長,5,朋花,131
04/20,10,悪徳組長,6,このみ,95
04/20,10,悪徳組長,7,杏奈,74
04/20,10,悪徳組長,8,志保,64
04/20,10,悪徳組長,9,莉緒,52
04/20,10,悪徳組長,10,亜利沙,48
04/20,11,悪徳組長,1,まつり,1897
04/20,11,悪徳組長,2,ひなた,1892
04/20,11,悪徳組長,3,風花,321
04/20,11,悪徳組長,4,奈緒,187
04/20,11,悪徳組長,5,朋花,131
04/20,11,悪徳組長,6,このみ,95
04/20,11,悪徳組長,7,杏奈,74
04/20,11,悪徳組長,8,志保,65
04/20,11,悪徳組長,9,莉緒,52
04/20,11,悪徳組長,10,亜利沙,48
04/20,12,悪徳組長,1,まつり,1935
04/20,12,悪徳組長,2,ひなた,1926
04/20,12,悪徳組長,3,風花,322
04/20,12,悪徳組長,4,奈緒,187
04/20,12,悪徳組長,5,朋花,138
04/20,12,悪徳組長,6,このみ,98
04/20,12,悪徳組長,7,杏奈,74
04/20,12,悪徳組長,8,志保,66
04/20,12,悪徳組長,9,莉緒,52
04/20,12,悪徳組長,10,亜利沙,48
04/20,13,悪徳組長,1,まつり,1967
04/20,13,悪徳組長,2,ひなた,1947
04/20,13,悪徳組長,3,風花,326
04/20,13,悪徳組長,4,奈緒,187
04/20,13,悪徳組長,5,朋花,139
04/20,13,悪徳組長,6,このみ,100
04/20,13,悪徳組長,7,杏奈,74
04/20,13,悪徳組長,8,志保,66
04/20,13,悪徳組長,9,莉緒,52
04/20,13,悪徳組長,10,亜利沙,49
04/20,14,悪徳組長,1,まつり,1978
04/20,14,悪徳組長,2,ひなた,1969
04/20,14,悪徳組長,3,風花,326
04/20,14,悪徳組長,4,奈緒,188
04/20,14,悪徳組長,5,朋花,140
04/20,14,悪徳組長,6,このみ,100
04/20,14,悪徳組長,7,杏奈,76
04/20,14,悪徳組長,8,志保,66
04/20,14,悪徳組長,9,莉緒,52
04/20,14,悪徳組長,10,亜利沙,49
04/20,15,悪徳組長,1,ひなた,1996
04/20,15,悪徳組長,2,まつり,1995
04/20,15,悪徳組長,3,風花,334
04/20,15,悪徳組長,4,奈緒,190
04/20,15,悪徳組長,5,朋花,140
04/20,15,悪徳組長,6,このみ,100
04/20,15,悪徳組長,7,杏奈,78
04/20,15,悪徳組長,8,志保,66
04/20,15,悪徳組長,9,莉緒,52
04/20,15,悪徳組長,10,亜利沙,49
04/20,16,悪徳組長,1,まつり,2028
04/20,16,悪徳組長,2,ひなた,2018
04/20,16,悪徳組長,3,風花,336
04/20,16,悪徳組長,4,奈緒,190
04/20,16,悪徳組長,5,朋花,141
04/20,16,悪徳組長,6,このみ,100
04/20,16,悪徳組長,7,杏奈,79
04/20,16,悪徳組長,8,志保,66
04/20,16,悪徳組長,9,莉緒,52
04/20,16,悪徳組長,10,亜利沙,49
04/20,17,悪徳組長,1,まつり,2064
04/20,17,悪徳組長,2,ひなた,2038
04/20,17,悪徳組長,3,風花,336
04/20,17,悪徳組長,4,奈緒,194
04/20,17,悪徳組長,5,朋花,143
04/20,17,悪徳組長,6,このみ,100
04/20,17,悪徳組長,7,杏奈,79
04/20,17,悪徳組長,8,志保,66
04/20,17,悪徳組長,9,莉緒,52
04/20,17,悪徳組長,10,亜利沙,49
04/20,18,悪徳組長,1,まつり,2080
04/20,18,悪徳組長,2,ひなた,2074
04/20,18,悪徳組長,3,風花,336
04/20,18,悪徳組長,4,奈緒,195
04/20,18,悪徳組長,5,朋花,146
04/20,18,悪徳組長,6,このみ,100
04/20,18,悪徳組長,7,杏奈,79
04/20,18,悪徳組長,8,志保,68
04/20,18,悪徳組長,9,莉緒,52
04/20,18,悪徳組長,10,亜利沙,49
04/20,19,悪徳組長,1,まつり,2109
04/20,19,悪徳組長,2,ひなた,2101
04/20,19,悪徳組長,3,風花,346
04/20,19,悪徳組長,4,奈緒,195
04/20,19,悪徳組長,5,朋花,148
04/20,19,悪徳組長,6,このみ,100
04/20,19,悪徳組長,7,杏奈,79
04/20,19,悪徳組長,8,志保,69
04/20,19,悪徳組長,9,莉緒,52
04/20,19,悪徳組長,10,亜利沙,49
04/20,20,悪徳組長,1,まつり,2135
04/20,20,悪徳組長,2,ひなた,2128
04/20,20,悪徳組長,3,風花,356
04/20,20,悪徳組長,4,奈緒,196
04/20,20,悪徳組長,5,朋花,155
04/20,20,悪徳組長,6,このみ,100
04/20,20,悪徳組長,7,杏奈,79
04/20,20,悪徳組長,8,志保,69
04/20,20,悪徳組長,9,莉緒,52
04/20,20,悪徳組長,10,茜,51
04/20,21,悪徳組長,1,まつり,2176
04/20,21,悪徳組長,2,ひなた,2173
04/20,21,悪徳組長,3,風花,358
04/20,21,悪徳組長,4,奈緒,201
04/20,21,悪徳組長,5,朋花,155
04/20,21,悪徳組長,6,このみ,100
04/20,21,悪徳組長,7,杏奈,80
04/20,21,悪徳組長,8,志保,69
04/20,21,悪徳組長,9,莉緒,52
04/20,21,悪徳組長,10,茜,51
04/20,22,悪徳組長,1,まつり,2211
04/20,22,悪徳組長,2,ひなた,2208
04/20,22,悪徳組長,3,風花,359
04/20,22,悪徳組長,4,奈緒,203
04/20,22,悪徳組長,5,朋花,156
04/20,22,悪徳組長,6,このみ,101
04/20,22,悪徳組長,7,杏奈,80
04/20,22,悪徳組長,8,志保,69
04/20,22,悪徳組長,9,莉緒,53
04/20,22,悪徳組長,10,茜,52
04/20,23,悪徳組長,1,まつり,2261
04/20,23,悪徳組長,2,ひなた,2253
04/20,23,悪徳組長,3,風花,361
04/20,23,悪徳組長,4,奈緒,203
04/20,23,悪徳組長,5,朋花,158
04/20,23,悪徳組長,6,このみ,107
04/20,23,悪徳組長,7,杏奈,81
04/20,23,悪徳組長,8,志保,69
04/20,23,悪徳組長,9,莉緒,53
04/20,23,悪徳組長,10,千鶴,53
04/21,0,悪徳組長,1,ひなた,2310
04/21,0,悪徳組長,2,まつり,2308
04/21,0,悪徳組長,3,風花,363
04/21,0,悪徳組長,4,奈緒,205
04/21,0,悪徳組長,5,朋花,168
04/21,0,悪徳組長,6,このみ,107
04/21,0,悪徳組長,7,杏奈,82
04/21,0,悪徳組長,8,志保,70
04/21,0,悪徳組長,9,千鶴,54
04/21,0,悪徳組長,10,莉緒,53
04/21,1,悪徳組長,1,まつり,2554
04/21,1,悪徳組長,2,ひなた,2527
04/21,1,悪徳組長,3,風花,374
04/21,1,悪徳組長,4,奈緒,211
04/21,1,悪徳組長,5,朋花,171
04/21,1,悪徳組長,6,このみ,109
04/21,1,悪徳組長,7,杏奈,87
04/21,1,悪徳組長,8,志保,71
04/21,1,悪徳組長,9,茜,55
04/21,1,悪徳組長,10,千鶴,55
04/21,2,悪徳組長,1,まつり,2629
04/21,2,悪徳組長,2,ひなた,2618
04/21,2,悪徳組長,3,風花,374
04/21,2,悪徳組長,4,奈緒,214
04/21,2,悪徳組長,5,朋花,172
04/21,2,悪徳組長,6,このみ,109
04/21,2,悪徳組長,7,杏奈,88
04/21,2,悪徳組長,8,志保,71
04/21,2,悪徳組長,9,茜,56
04/21,2,悪徳組長,10,千鶴,56
04/21,3,悪徳組長,1,まつり,2668
04/21,3,悪徳組長,2,ひなた,2660
04/21,3,悪徳組長,3,風花,375
04/21,3,悪徳組長,4,奈緒,214
04/21,3,悪徳組長,5,朋花,172
04/21,3,悪徳組長,6,このみ,110
04/21,3,悪徳組長,7,杏奈,88
04/21,3,悪徳組長,8,志保,71
04/21,3,悪徳組長,9,千鶴,57
04/21,3,悪徳組長,10,茜,56
04/21,4,悪徳組長,1,ひなた,2693
04/21,4,悪徳組長,2,まつり,2691
04/21,4,悪徳組長,3,風花,381
04/21,4,悪徳組長,4,奈緒,214
04/21,4,悪徳組長,5,朋花,172
04/21,4,悪徳組長,6,このみ,111
04/21,4,悪徳組長,7,杏奈,88
04/21,4,悪徳組長,8,志保,71
04/21,4,悪徳組長,9,千鶴,58
04/21,4,悪徳組長,10,茜,56
04/21,5,悪徳組長,1,まつり,2708
04/21,5,悪徳組長,2,ひなた,2698
04/21,5,悪徳組長,3,風花,381
04/21,5,悪徳組長,4,奈緒,214
04/21,5,悪徳組長,5,朋花,172
04/21,5,悪徳組長,6,このみ,111
04/21,5,悪徳組長,7,杏奈,88
04/21,5,悪徳組長,8,志保,71
04/21,5,悪徳組長,9,千鶴,58
04/21,5,悪徳組長,10,茜,57
04/21,6,悪徳組長,1,まつり,2719
04/21,6,悪徳組長,2,ひなた,2716
04/21,6,悪徳組長,3,風花,383
04/21,6,悪徳組長,4,奈緒,214
04/21,6,悪徳組長,5,朋花,173
04/21,6,悪徳組長,6,このみ,111
04/21,6,悪徳組長,7,杏奈,88
04/21,6,悪徳組長,8,志保,71
04/21,6,悪徳組長,9,茜,62
04/21,6,悪徳組長,10,千鶴,59
04/21,7,悪徳組長,1,まつり,2781
04/21,7,悪徳組長,2,ひなた,2769
04/21,7,悪徳組長,3,風花,384
04/21,7,悪徳組長,4,奈緒,215
04/21,7,悪徳組長,5,朋花,179
04/21,7,悪徳組長,6,このみ,111
04/21,7,悪徳組長,7,杏奈,88
04/21,7,悪徳組長,8,志保,75
04/21,7,悪徳組長,9,茜,63
04/21,7,悪徳組長,10,千鶴,60
04/21,8,悪徳組長,1,ひなた,2849
04/21,8,悪徳組長,2,まつり,2824
04/21,8,悪徳組長,3,風花,385
04/21,8,悪徳組長,4,奈緒,220
04/21,8,悪徳組長,5,朋花,181
04/21,8,悪徳組長,6,このみ,111
04/21,8,悪徳組長,7,杏奈,88
04/21,8,悪徳組長,8,志保,75
04/21,8,悪徳組長,9,茜,64
04/21,8,悪徳組長,10,千鶴,60
04/21,9,悪徳組長,1,ひなた,2899
04/21,9,悪徳組長,2,まつり,2884
04/21,9,悪徳組長,3,風花,387
04/21,9,悪徳組長,4,奈緒,222
04/21,9,悪徳組長,5,朋花,184
04/21,9,悪徳組長,6,このみ,111
04/21,9,悪徳組長,7,杏奈,88
04/21,9,悪徳組長,8,志保,75
04/21,9,悪徳組長,9,茜,65
04/21,9,悪徳組長,10,千鶴,60
04/21,10,悪徳組長,1,ひなた,2926
04/21,10,悪徳組長,2,まつり,2924
04/21,10,悪徳組長,3,風花,393
04/21,10,悪徳組長,4,奈緒,223
04/21,10,悪徳組長,5,朋花,187
04/21,10,悪徳組長,6,このみ,111
04/21,10,悪徳組長,7,杏奈,88
04/21,10,悪徳組長,8,志保,75
04/21,10,悪徳組長,9,茜,65
04/21,10,悪徳組長,10,千鶴,61
04/21,11,悪徳組長,1,ひなた,2983
04/21,11,悪徳組長,2,まつり,2957
04/21,11,悪徳組長,3,風花,397
04/21,11,悪徳組長,4,奈緒,236
04/21,11,悪徳組長,5,朋花,188
04/21,11,悪徳組長,6,このみ,111
04/21,11,悪徳組長,7,杏奈,88
04/21,11,悪徳組長,8,志保,75
04/21,11,悪徳組長,9,茜,65
04/21,11,悪徳組長,10,千鶴,65
04/21,12,悪徳組長,1,まつり,3019
04/21,12,悪徳組長,2,ひなた,3013
04/21,12,悪徳組長,3,風花,404
04/21,12,悪徳組長,4,奈緒,238
04/21,12,悪徳組長,5,朋花,189
04/21,12,悪徳組長,6,このみ,111
04/21,12,悪徳組長,7,杏奈,88
04/21,12,悪徳組長,8,志保,80
04/21,12,悪徳組長,9,千鶴,66
04/21,12,悪徳組長,10,茜,65
04/21,13,悪徳組長,1,ひなた,3080
04/21,13,悪徳組長,2,まつり,3077
04/21,13,悪徳組長,3,風花,412
04/21,13,悪徳組長,4,奈緒,238
04/21,13,悪徳組長,5,朋花,192
04/21,13,悪徳組長,6,このみ,111
04/21,13,悪徳組長,7,杏奈,88
04/21,13,悪徳組長,8,志保,80
04/21,13,悪徳組長,9,千鶴,66
04/21,13,悪徳組長,10,茜,65
04/21,14,悪徳組長,1,まつり,3130
04/21,14,悪徳組長,2,ひなた,3110
04/21,14,悪徳組長,3,風花,413
04/21,14,悪徳組長,4,奈緒,244
04/21,14,悪徳組長,5,朋花,192
04/21,14,悪徳組長,6,このみ,111
04/21,14,悪徳組長,7,杏奈,88
04/21,14,悪徳組長,8,志保,80
