日付,時間,役,順位,名前,得票数
04/19,20,幼なじみ,4,翼,89
04/19,20,幼なじみ,5,海美,89
04/19,20,幼なじみ,6,エレナ,54
04/19,20,幼なじみ,7,昴,51
04/19,20,幼なじみ,8,静香,44
04/19,20,幼なじみ,9,志保,42
04/19,20,幼なじみ,10,紗代子,41
04/19,21,幼なじみ,1,恵美,920
04/19,21,幼なじみ,2,美奈子,794
04/19,21,幼なじみ,3,琴葉,115
04/19,21,幼なじみ,4,海美,90
04/19,21,幼なじみ,5,翼,89
04/19,21,幼なじみ,6,エレナ,54
04/19,21,幼なじみ,7,昴,51
04/19,21,幼なじみ,8,静香,46
04/19,21,幼なじみ,9,志保,43
04/19,21,幼なじみ,10,紗代子,42
04/19,22,幼なじみ,1,恵美,966
04/19,22,幼なじみ,2,美奈子,809
04/19,22,幼なじみ,3,琴葉,121
04/19,22,幼なじみ,4,海美,90
04/19,22,幼なじみ,5,翼,90
04/19,22,幼なじみ,6,エレナ,60
04/19,22,幼なじみ,7,昴,51
04/19,22,幼なじみ,8,静香,46
04/19,22,幼なじみ,9,志保,43
04/19,22,幼なじみ,10,紗代子,43
04/19,23,幼なじみ,1,恵美,995
04/19,23,幼なじみ,2,美奈子,835
04/19,23,幼なじみ,3,琴葉,121
04/19,23,幼なじみ,4,海美,92
04/19,23,幼なじみ,5,翼,90
04/19,23,幼なじみ,6,エレナ,60
04/19,23,幼なじみ,7,昴,51
04/19,23,幼なじみ,8,静香,47
04/19,23,幼なじみ,9,志保,44
04/19,23,幼なじみ,10,紗代子,43
04/20,0,幼なじみ,1,恵美,1043
04/20,0,幼なじみ,2,美奈子,861
04/20,0,幼なじみ,3,琴葉,122
04/20,0,幼なじみ,4,海美,96
04/20,0,幼なじみ,5,翼,94
04/20,0,幼なじみ,6,エレナ,60
04/20,0,幼なじみ,7,静香,52
04/20,0,幼なじみ,8,昴,51
04/20,0,幼なじみ,9,志保,45
04/20,0,幼なじみ,10,紗代子,45
04/20,1,幼なじみ,1,恵美,1223
04/20,1,幼なじみ,2,美奈子,1025
04/20,1,幼なじみ,3,琴葉,140
04/20,1,幼なじみ,4,海美,102
04/20,1,幼なじみ,5,翼,99
04/20,1,幼なじみ,6,エレナ,60
04/20,1,幼なじみ,7,静香,59
04/20,1,幼なじみ,8,昴,52
04/20,1,幼なじみ,9,紗代子,48
04/20,1,幼なじみ,10,奈緒,48
04/20,2,幼なじみ,1,恵美,1276
04/20,2,幼なじみ,2,美奈子,1095
04/20,2,幼なじみ,3,琴葉,144
04/20,2,幼なじみ,4,海美,111
04/20,2,幼なじみ,5,翼,108
04/20,2,幼なじみ,6,エレナ,63
