日付,時間,役,順位,名前,得票数
04/20,13,部長,8,恵美,39
04/20,13,部長,9,麗花,39
04/20,13,部長,10,風花,35
04/20,14,部長,1,瑞希,1503
04/20,14,部長,2,このみ,1253
04/20,14,部長,3,紗代子,117
04/20,14,部長,4,琴葉,100
04/20,14,部長,5,亜利沙,78
04/20,14,部長,6,莉緒,67
04/20,14,部長,7,千鶴,42
04/20,14,部長,8,恵美,39
04/20,14,部長,9,麗花,39
04/20,14,部長,10,風花,35
04/20,15,部長,1,瑞希,1524
04/20,15,部長,2,このみ,1266
04/20,15,部長,3,紗代子,117
04/20,15,部長,4,琴葉,100
04/20,15,部長,5,亜利沙,79
04/20,15,部長,6,莉緒,67
04/20,15,部長,7,千鶴,42
04/20,15,部長,8,恵美,39
04/20,15,部長,9,麗花,39
04/20,15,部長,10,風花,35
04/20,16,部長,1,瑞希,1530
04/20,16,部長,2,このみ,1275
04/20,16,部長,3,紗代子,117
04/20,16,部長,4,琴葉,100
04/20,16,部長,5,亜利沙,79
04/20,16,部長,6,莉緒,67
04/20,16,部長,7,千鶴,42
04/20,16,部長,8,恵美,39
04/20,16,部長,9,麗花,39
04/20,16,部長,10,風花,35
04/20,17,部長,1,瑞希,1533
04/20,17,部長,2,このみ,1295
04/20,17,部長,3,紗代子,117
04/20,17,部長,4,琴葉,101
04/20,17,部長,5,亜利沙,81
04/20,17,部長,6,莉緒,67
04/20,17,部長,7,千鶴,42
04/20,17,部長,8,恵美,41
04/20,17,部長,9,麗花,39
04/20,17,部長,10,風花,35
04/20,18,部長,1,瑞希,1542
04/20,18,部長,2,このみ,1303
04/20,18,部長,3,紗代子,118
04/20,18,部長,4,琴葉,101
04/20,18,部長,5,亜利沙,82
04/20,18,部長,6,莉緒,68
04/20,18,部長,7,千鶴,42
04/20,18,部長,8,恵美,42
04/20,18,部長,9,麗花,39
04/20,18,部長,10,風花,35
04/20,19,部長,1,瑞希,1550
04/20,19,部長,2,このみ,1337
04/20,19,部長,3,紗代子,118
04/20,19,部長,4,琴葉,101
04/20,19,部長,5,亜利沙,82
04/20,19,部長,6,莉緒,68
04/20,19,部長,7,千鶴,42
04/20,19,部長,8,恵美,42
04/20,19,部長,9,麗花,40
04/20,19,部長,10,風花,35
04/20,20,部長,1,瑞希,1565
04/20,20,部長,2,このみ,1357
04/20,20,部長,3,紗代子,120
04/20,20,部長,4,琴葉,101
04/20,20,部長,5,亜利沙,82
04/20,20,部長,6,莉緒,68
04/20,20,部長,7,千鶴,42
