日付,時間,役,順位,名前,得票数
04/20,5,魔王,5,風花,101
04/20,5,魔王,6,このみ,72
04/20,5,魔王,7,麗花,69
04/20,5,魔王,8,百合子,61
04/20,5,魔王,9,可憐,55
04/20,5,魔王,10,茜,54
04/20,6,魔王,1,朋花,1101
04/20,6,魔王,2,まつり,374
04/20,6,魔王,3,志保,137
04/20,6,魔王,4,杏奈,102
04/20,6,魔王,5,風花,101
04/20,6,魔王,6,このみ,73
04/20,6,魔王,7,麗花,70
04/20,6,魔王,8,百合子,61
04/20,6,魔王,9,可憐,55
04/20,6,魔王,10,茜,55
04/20,7,魔王,1,朋花,1138
04/20,7,魔王,2,まつり,387
04/20,7,魔王,3,志保,137
04/20,7,魔王,4,杏奈,106
04/20,7,魔王,5,風花,102
04/20,7,魔王,6,このみ,80
04/20,7,魔王,7,麗花,73
04/20,7,魔王,8,百合子,61
04/20,7,魔王,9,可憐,57
04/20,7,魔王,10,茜,55
04/20,8,魔王,1,朋花,1180
04/20,8,魔王,2,まつり,394
04/20,8,魔王,3,志保,140
04/20,8,魔王,4,杏奈,106
04/20,8,魔王,5,風花,103
04/20,8,魔王,6,このみ,80
04/20,8,魔王,7,麗花,74
04/20,8,魔王,8,百合子,61
04/20,8,魔王,9,可憐,57
04/20,8,魔王,10,茜,57
04/20,9,魔王,1,朋花,1195
04/20,9,魔王,2,まつり,399
04/20,9,魔王,3,志保,141
04/20,9,魔王,4,杏奈,106
04/20,9,魔王,5,風花,104
04/20,9,魔王,6,このみ,82
04/20,9,魔王,7,麗花,74
04/20,9,魔王,8,百合子,61
04/20,9,魔王,9,莉緒,61
04/20,9,魔王,10,可憐,59
04/20,10,魔王,1,朋花,1217
04/20,10,魔王,2,まつり,405
04/20,10,魔王,3,志保,143
04/20,10,魔王,4,風花,110
04/20,10,魔王,5,杏奈,107
04/20,10,魔王,6,このみ,84
04/20,10,魔王,7,麗花,75
04/20,10,魔王,8,百合子,61
04/20,10,魔王,9,莉緒,61
04/20,10,魔王,10,可憐,59
04/20,11,魔王,1,朋花,1240
04/20,11,魔王,2,まつり,410
04/20,11,魔王,3,志保,146
04/20,11,魔王,4,風花,112
04/20,11,魔王,5,杏奈,108
04/20,11,魔王,6,このみ,87
04/20,11,魔王,7,麗花,75
04/20,11,魔王,8,百合子,61
04/20,11,魔王,9,莉緒,61
04/20,11,魔王,10,可憐,59
04/20,12,魔王,1,朋花,1257
04/20,12,魔王,2,まつり,412
04/20,12,魔王,3,志保,147
04/20,12,魔王,4,風花,114
04/20,12,魔王,5,杏奈,110
04/20,12,魔王,6,このみ,88
04/20,12,魔王,7,麗花,75
04/20,12,魔王,8,莉緒,62
04/20,12,魔王,9,百合子,61
04/20,12,魔王,10,茜,60
04/20,13,魔王,1,朋花,1295
04/20,13,魔王,2,まつり,414
04/20,13,魔王,3,志保,149
04/20,13,魔王,4,風花,114
04/20,13,魔王,5,杏奈,111
04/20,13,魔王,6,このみ,88
04/20,13,魔王,7,麗花,75
04/20,13,魔王,8,莉緒,62
04/20,13,魔王,9,百合子,62
04/20,13,魔王,10,茜,60
04/20,14,魔王,1,朋花,1304
04/20,14,魔王,2,まつり,416
04/20,14,魔王,3,志保,149
04/20,14,魔王,4,風花,114
04/20,14,魔王,5,杏奈,112
04/20,14,魔王,6,このみ,88
04/20,14,魔王,7,麗花,75
04/20,14,魔王,8,莉緒,63
04/20,14,魔王,9,百合子,62
04/20,14,魔王,10,茜,60
04/20,15,魔王,1,朋花,1317
04/20,15,魔王,2,まつり,417
04/20,15,魔王,3,志保,150
04/20,15,魔王,4,風花,114
04/20,15,魔王,5,杏奈,113
04/20,15,魔王,6,このみ,88
04/20,15,魔王,7,麗花,75
04/20,15,魔王,8,莉緒,63
04/20,15,魔王,9,百合子,62
04/20,15,魔王,10,茜,60
04/20,16,魔王,1,朋花,1323
04/20,16,魔王,2,まつり,418
04/20,16,魔王,3,志保,150
04/20,16,魔王,4,杏奈,115
04/20,16,魔王,5,風花,114
04/20,16,魔王,6,このみ,88
04/20,16,魔王,7,麗花,75
04/20,16,魔王,8,莉緒,63
04/20,16,魔王,9,百合子,62
04/20,16,魔王,10,茜,60
04/20,17,魔王,1,朋花,1325
04/20,17,魔王,2,まつり,419
04/20,17,魔王,3,志保,150
04/20,17,魔王,4,風花,116
04/20,17,魔王,5,杏奈,116
04/20,17,魔王,6,このみ,95
04/20,17,魔王,7,麗花,75
04/20,17,魔王,8,莉緒,63
04/20,17,魔王,9,百合子,62
04/20,17,魔王,10,茜,60
04/20,18,魔王,1,朋花,1337
04/20,18,魔王,2,まつり,420
04/20,18,魔王,3,志保,150
04/20,18,魔王,4,杏奈,119
04/20,18,魔王,5,風花,116
04/20,18,魔王,6,このみ,95
04/20,18,魔王,7,麗花,76
04/20,18,魔王,8,莉緒,64
04/20,18,魔王,9,百合子,62
04/20,18,魔王,10,可憐,61
04/20,19,魔王,1,朋花,1346
04/20,19,魔王,2,まつり,423
04/20,19,魔王,3,志保,150
04/20,19,魔王,4,杏奈,119
04/20,19,魔王,5,風花,119
04/20,19,魔王,6,このみ,95
04/20,19,魔王,7,麗花,76
04/20,19,魔王,8,莉緒,64
04/20,19,魔王,9,可憐,63
04/20,19,魔王,10,百合子,62
04/20,20,魔王,1,朋花,1371
04/20,20,魔王,2,まつり,423
04/20,20,魔王,3,志保,151
04/20,20,魔王,4,風花,121
04/20,20,魔王,5,杏奈,119
04/20,20,魔王,6,このみ,95
04/20,20,魔王,7,麗花,77
04/20,20,魔王,8,可憐,65
04/20,20,魔王,9,莉緒,64
04/20,20,魔王,10,百合子,62
04/20,21,魔王,1,朋花,1387
04/20,21,魔王,2,まつり,423
04/20,21,魔王,3,志保,151
04/20,21,魔王,4,風花,133
04/20,21,魔王,5,杏奈,120
04/20,21,魔王,6,このみ,96
04/20,21,魔王,7,麗花,80
04/20,21,魔王,8,可憐,66
04/20,21,魔王,9,莉緒,64
04/20,21,魔王,10,百合子,62
04/20,22,魔王,1,朋花,1402
04/20,22,魔王,2,まつり,428
04/20,22,魔王,3,志保,152
04/20,22,魔王,4,風花,134
04/20,22,魔王,5,杏奈,122
04/20,22,魔王,6,このみ,97
04/20,22,魔王,7,麗花,80
04/20,22,魔王,8,可憐,69
04/20,22,魔王,9,莉緒,66
04/20,22,魔王,10,百合子,63
04/20,23,魔王,1,朋花,1416
04/20,23,魔王,2,まつり,431
04/20,23,魔王,3,志保,152
04/20,23,魔王,4,風花,138
04/20,23,魔王,5,杏奈,123
04/20,23,魔王,6,このみ,97
04/20,23,魔王,7,麗花,80
04/20,23,魔王,8,可憐,70
04/20,23,魔王,9,莉緒,69
04/20,23,魔王,10,百合子,63
04/21,0,魔王,1,朋花,1434
04/21,0,魔王,2,まつり,434
04/21,0,魔王,3,志保,156
04/21,0,魔王,4,風花,139
04/21,0,魔王,5,杏奈,124
04/21,0,魔王,6,このみ,99
04/21,0,魔王,7,麗花,80
04/21,0,魔王,8,可憐,71
04/21,0,魔王,9,莉緒,70
04/21,0,魔王,10,百合子,63
04/21,1,魔王,1,朋花,1514
04/21,1,魔王,2,まつり,439
04/21,1,魔王,3,志保,168
04/21,1,魔王,4,風花,143
04/21,1,魔王,5,杏奈,124
04/21,1,魔王,6,このみ,100
04/21,1,魔王,7,麗花,84
04/21,1,魔王,8,莉緒,78
04/21,1,魔王,9,可憐,72
04/21,1,魔王,10,茜,65
04/21,2,魔王,1,朋花,1534
04/21,2,魔王,2,まつり,447
04/21,2,魔王,3,志保,171
04/21,2,魔王,4,風花,147
04/21,2,魔王,5,杏奈,124
04/21,2,魔王,6,このみ,100
04/21,2,魔王,7,麗花,84
04/21,2,魔王,8,莉緒,78
04/21,2,魔王,9,可憐,74
04/21,2,魔王,10,百合子,69
04/21,3,魔王,1,朋花,1550
04/21,3,魔王,2,まつり,448
04/21,3,魔王,3,志保,173
04/21,3,魔王,4,風花,152
04/21,3,魔王,5,杏奈,124
04/21,3,魔王,6,このみ,101
04/21,3,魔王,7,麗花,84
04/21,3,魔王,8,莉緒,78
04/21,3,魔王,9,可憐,75
04/21,3,魔王,10,百合子,69
04/21,4,魔王,1,朋花,1552
04/21,4,魔王,2,まつり,448
04/21,4,魔王,3,志保,175
04/21,4,魔王,4,風花,152
04/21,4,魔王,5,杏奈,124
04/21,4,魔王,6,このみ,101
04/21,4,魔王,7,莉緒,86
04/21,4,魔王,8,麗花,84
04/21,4,魔王,9,可憐,77
04/21,4,魔王,10,百合子,69
04/21,5,魔王,1,朋花,1559
04/21,5,魔王,2,まつり,448
04/21,5,魔王,3,志保,176
04/21,5,魔王,4,風花,155
04/21,5,魔王,5,杏奈,125
04/21,5,魔王,6,このみ,102
04/21,5,魔王,7,莉緒,86
04/21,5,魔王,8,麗花,84
04/21,5,魔王,9,可憐,77
04/21,5,魔王,10,百合子,69
04/21,6,魔王,1,朋花,1564
04/21,6,魔王,2,まつり,450
04/21,6,魔王,3,志保,176
04/21,6,魔王,4,風花,156
04/21,6,魔王,5,杏奈,125
04/21,6,魔王,6,このみ,102
04/21,6,魔王,7,莉緒,86
04/21,6,魔王,8,麗花,84
04/21,6,魔王,9,可憐,77
04/21,6,魔王,10,百合子,69
04/21,7,魔王,1,朋花,1568
04/21,7,魔王,2,まつり,461
04/21,7,魔王,3,志保,176
04/21,7,魔王,4,風花,160
04/21,7,魔王,5,杏奈,127
04/21,7,魔王,6,このみ,106
04/21,7,魔王,7,莉緒,88
04/21,7,魔王,8,麗花,84
04/21,7,魔王,9,可憐,78
04/21,7,魔王,10,百合子,69
04/21,8,魔王,1,朋花,1591
04/21,8,魔王,2,まつり,469
04/21,8,魔王,3,志保,176
04/21,8,魔王,4,風花,160
04/21,8,魔王,5,杏奈,128
04/21,8,魔王,6,このみ,106
04/21,8,魔王,7,莉緒,100
04/21,8,魔王,8,麗花,84
04/21,8,魔王,9,可憐,79
04/21,8,魔王,10,百合子,72
04/21,9,魔王,1,朋花,1612
04/21,9,魔王,2,まつり,471
04/21,9,魔王,3,志保,179
04/21,9,魔王,4,風花,160
04/21,9,魔王,5,杏奈,133
04/21,9,魔王,6,このみ,110
04/21,9,魔王,7,莉緒,102
04/21,9,魔王,8,麗花,85
04/21,9,魔王,9,可憐,79
04/21,9,魔王,10,百合子,72
04/21,10,魔王,1,朋花,1628
04/21,10,魔王,2,まつり,478
04/21,10,魔王,3,志保,179
04/21,10,魔王,4,風花,160
04/21,10,魔王,5,杏奈,133
04/21,10,魔王,6,このみ,110
04/21,10,魔王,7,莉緒,102
04/21,10,魔王,8,麗花,85
04/21,10,魔王,9,可憐,79
04/21,10,魔王,10,百合子,72
04/21,11,魔王,1,朋花,1632
04/21,11,魔王,2,まつり,485
04/21,11,魔王,3,志保,179
04/21,11,魔王,4,風花,160
04/21,11,魔王,5,杏奈,133
04/21,11,魔王,6,このみ,110
04/21,11,魔王,7,莉緒,102
04/21,11,魔王,8,麗花,85
04/21,11,魔王,9,可憐,79
04/21,11,魔王,10,百合子,72
04/21,12,魔王,1,朋花,1643
04/21,12,魔王,2,まつり,485
04/21,12,魔王,3,志保,181
04/21,12,魔王,4,風花,161
04/21,12,魔王,5,杏奈,133
04/21,12,魔王,6,このみ,110
04/21,12,魔王,7,莉緒,102
04/21,12,魔王,8,麗花,85
04/21,12,魔王,9,可憐,79
04/21,12,魔王,10,百合子,72
04/21,13,魔王,1,朋花,1666
04/21,13,魔王,2,まつり,488
04/21,13,魔王,3,志保,181
04/21,13,魔王,4,風花,162
04/21,13,魔王,5,杏奈,133
04/21,13,魔王,6,このみ,110
04/21,13,魔王,7,莉緒,102
04/21,13,魔王,8,麗花,85
04/21,13,魔王,9,可憐,79
04/21,13,魔王,10,百合子,73
04/21,14,魔王,1,朋花,1688
04/21,14,魔王,2,まつり,489
04/21,14,魔王,3,志保,181
04/21,14,魔王,4,風花,167
04/21,14,魔王,5,杏奈,134
04/21,14,魔王,6,このみ,110
04/21,14,魔王,7,莉緒,102
04/21,14,魔王,8,麗花,86
04/21,14,魔王,9,可憐,79
04/21,14,魔王,10,百合子,73
04/21,15,魔王,1,朋花,1700
04/21,15,魔王,2,まつり,490
04/21,15,魔王,3,志保,183
04/21,15,魔王,4,風花,167
04/21,15,魔王,5,杏奈,134
04/21,15,魔王,6,このみ,111
04/21,15,魔王,7,莉緒,102
04/21,15,魔王,8,麗花,86
04/21,15,魔王,9,可憐,80
04/21,15,魔王,10,百合子,74
04/21,16,魔王,1,朋花,1710
04/21,16,魔王,2,まつり,490
04/21,16,魔王,3,志保,183
04/21,16,魔王,4,風花,168
04/21,16,魔王,5,杏奈,134
04/21,16,魔王,6,このみ,111
04/21,16,魔王,7,莉緒,102
04/21,16,魔王,8,麗花,86
04/21,16,魔王,9,可憐,80
04/21,16,魔王,10,百合子,74
04/21,17,魔王,1,朋花,1724
04/21,17,魔王,2,まつり,490
04/21,17,魔王,3,志保,183
04/21,17,魔王,4,風花,173
04/21,17,魔王,5,杏奈,135
04/21,17,魔王,6,このみ,111
04/21,17,魔王,7,莉緒,102
04/21,17,魔王,8,麗花,86
04/21,17,魔王,9,可憐,80
04/21,17,魔王,10,百合子,74
04/21,18,魔王,1,朋花,1749
04/21,18,魔王,2,まつり,492
04/21,18,魔王,3,志保,184
04/21,18,魔王,4,風花,173
04/21,18,魔王,5,杏奈,135
04/21,18,魔王,6,このみ,111
04/21,18,魔王,7,莉緒,104
04/21,18,魔王,8,麗花,86
04/21,18,魔王,9,可憐,80
04/21,18,魔王,10,百合子,74
04/21,19,魔王,1,朋花,1758
04/21,19,魔王,2,まつり,492
04/21,19,魔王,3,志保,184
04/21,19,魔王,4,風花,177
04/21,19,魔王,5,杏奈,135
04/21,19,魔王,6,このみ,113
04/21,19,魔王,7,莉緒,105
04/21,19,魔王,8,麗花,86
04/21,19,魔王,9,可憐,80
04/21,19,魔王,10,百合子,76
04/21,20,魔王,1,朋花,1780
04/21,20,魔王,2,まつり,493
04/21,20,魔王,3,志保,185
04/21,20,魔王,4,風花,180
04/21,20,魔王,5,杏奈,135
04/21,20,魔王,6,このみ,114
04/21,20,魔王,7,莉緒,106
04/21,20,魔王,8,麗花,86
04/21,20,魔王,9,可憐,80
04/21,20,魔王,10,百合子,76
04/21,21,魔王,1,朋花,1805
04/21,21,魔王,2,まつり,495
04/21,21,魔王,3,志保,185
04/21,21,魔王,4,風花,180
04/21,21,魔王,5,杏奈,135
04/21,21,魔王,6,このみ,115
04/21,21,魔王,7,莉緒,106
04/21,21,魔王,8,麗花,89
04/21,21,魔王,9,可憐,80
04/21,21,魔王,10,百合子,76
04/21,22,魔王,1,朋花,1843
04/21,22,魔王,2,まつり,503
04/21,22,魔王,3,志保,187
04/21,22,魔王,4,風花,185
04/21,22,魔王,5,杏奈,136
04/21,22,魔王,6,このみ,116
04/21,22,魔王,7,莉緒,108
04/21,22,魔王,8,麗花,90
04/21,22,魔王,9,可憐,81
04/21,22,魔王,10,百合子,77
04/21,23,魔王,1,朋花,1855
04/21,23,魔王,2,まつり,509
04/21,23,魔王,3,志保,187
04/21,23,魔王,4,風花,185
04/21,23,魔王,5,杏奈,136
04/21,23,魔王,6,このみ,117
04/21,23,魔王,7,莉緒,110
04/21,23,魔王,8,麗花,92
04/21,23,魔王,9,可憐,81
04/21,23,魔王,10,百合子,80
04/22,0,魔王,1,朋花,1881
04/22,0,魔王,2,まつり,513
04/22,0,魔王,3,志保,188
04/22,0,魔王,4,風花,187
04/22,0,魔王,5,杏奈,136
04/22,0,魔王,6,このみ,117
04/22,0,魔王,7,莉緒,111
04/22,0,魔王,8,麗花,92
04/22,0,魔王,9,可憐,81
04/22,0,魔王,10,百合子,80
04/22,1,魔王,1,朋花,1987
04/22,1,魔王,2,まつり,523
04/22,1,魔王,3,志保,192
04/22,1,魔王,4,風花,187
04/22,1,魔王,5,杏奈,152
04/22,1,魔王,6,このみ,118
04/22,1,魔王,7,莉緒,111
04/22,1,魔王,8,麗花,92
04/22,1,魔王,9,可憐,81
04/22,1,魔王,10,百合子,81
04/22,2,魔王,1,朋花,2004
04/22,2,魔王,2,まつり,530
04/22,2,魔王,3,志保,195
04/22,2,魔王,4,風花,193
04/22,2,魔王,5,杏奈,152
04/22,2,魔王,6,このみ,119
04/22,2,魔王,7,莉緒,111
04/22,2,魔王,8,麗花,92
04/22,2,魔王,9,可憐,90
04/22,2,魔王,10,百合子,82
04/22,3,魔王,1,朋花,2013
04/22,3,魔王,2,まつり,530
04/22,3,魔王,3,風花,198
04/22,3,魔王,4,志保,195
04/22,3,魔王,5,杏奈,152
04/22,3,魔王,6,このみ,119
04/22,3,魔王,7,莉緒,113
04/22,3,魔王,8,麗花,92
04/22,3,魔王,9,可憐,91
04/22,3,魔王,10,百合子,83
04/22,4,魔王,1,朋花,2019
04/22,4,魔王,2,まつり,531
04/22,4,魔王,3,風花,198
04/22,4,魔王,4,志保,195
04/22,4,魔王,5,杏奈,152
04/22,4,魔王,6,このみ,119
04/22,4,魔王,7,莉緒,113
04/22,4,魔王,8,麗花,92
04/22,4,魔王,9,可憐,91
04/22,4,魔王,10,百合子,83
04/22,5,魔王,1,朋花,2023
04/22,5,魔王,2,まつり,536
04/22,5,魔王,3,風花,198
04/22,5,魔王,4,志保,196
04/22,5,魔王,5,杏奈,152
04/22,5,魔王,6,このみ,119
04/22,5,魔王,7,莉緒,113
04/22,5,魔王,8,麗花,92
04/22,5,魔王,9,可憐,92
04/22,5,魔王,10,百合子,83
04/22,6,魔王,1,朋花,2025
04/22,6,魔王,2,まつり,542
04/22,6,魔王,3,風花,198
04/22,6,魔王,4,志保,196
04/22,6,魔王,5,杏奈,152
04/22,6,魔王,6,このみ,119
04/22,6,魔王,7,莉緒,113
04/22,6,魔王,8,可憐,93
04/22,6,魔王,9,麗花,92
04/22,6,魔王,10,百合子,89
04/22,7,魔王,1,朋花,2036
04/22,7,魔王,2,まつり,543
